target,category,ref_file_count,false_positive,referencing_files
Decision-Making-Framework,C3 Missing core/spine note,34,no,David Proctor's Second Brain/Books/The Art of War.md; David Proctor's Second Brain/Books/The Cat in the Hat.md; David Proctor's Second Brain/Books/World Without End.md; David Proctor's Second Brain/Concepts/Audience-First-Communication.md; David Proctor's Second Brain/Concepts/INTJ-Decision-Style.md; David Proctor's Second Brain/Concepts/Medieval-Cathedral-Building.md; David Proctor's Second Brain/Concepts/Pattern-Recognition-Decision-Making.md; David Proctor's Second Brain/Concepts/Proof-of-Concept-as-Persuasion.md; David Proctor's Second Brain/Concepts/Sun-Tzu-Strategy-Principles.md; David Proctor's Second Brain/Frameworks/Agile.md; David Proctor's Second Brain/Frameworks/SAFe.md; David Proctor's Second Brain/Frameworks/TOGAF.md; David Proctor's Second Brain/MOCs/AI-Strategy-MOC.md; David Proctor's Second Brain/MOCs/Career-and-Leadership-MOC.md; David Proctor's Second Brain/MOCs/Enterprise-Architecture-MOC.md; David Proctor's Second Brain/MOCs/Productivity-MOC.md; David Proctor's Second Brain/Mental Models/Audience-First Communication.md; David Proctor's Second Brain/Mental Models/First Principles Thinking.md; David Proctor's Second Brain/Mental Models/Governance Without Friction.md; David Proctor's Second Brain/Mental Models/Inversion.md; David Proctor's Second Brain/Mental Models/Minimal Viable Proof of Concept.md; David Proctor's Second Brain/Mental Models/Pattern Recognition.md; David Proctor's Second Brain/Mental Models/Second-Order Thinking.md; David Proctor's Second Brain/People/Moxie-Marlinspike.md; David Proctor's Second Brain/People/Sun-Tzu.md; David Proctor's Second Brain/Principles/Demos Persuade More Than Arguments.md; David Proctor's Second Brain/Principles/Facts Before Feelings.md; David Proctor's Second Brain/Principles/Pattern Recognition Across Domains Is the Primary Cognitive Shortcut.md; David Proctor's Second Brain/Principles/Simplify Before You Scale or Centralize.md; David Proctor's Second Brain/Quotes/Pillars-of-the-Earth-Quotes.md; David Proctor's Second Brain/Quotes/The-Art-of-War-Quotes.md; David Proctor's Second Brain/Quotes/The-Cat-in-the-Hat-Quotes.md; David Proctor's Second Brain/Quotes/World-Without-End-Quotes.md; David Proctor's Second Brain/User-Profile.md
David-Proctor-Profile,C3 Missing core/spine note,30,no,David Proctor's Second Brain/Books/Pillars of the Earth.md; David Proctor's Second Brain/Books/The Art of War.md; David Proctor's Second Brain/Books/The Cat in the Hat.md; David Proctor's Second Brain/Books/World Without End.md; David Proctor's Second Brain/Concepts/Audience-First-Communication.md; David Proctor's Second Brain/Concepts/Friction-Forced-Learning.md; David Proctor's Second Brain/Concepts/INTJ-Decision-Style.md; David Proctor's Second Brain/Concepts/Medieval-Cathedral-Building.md; David Proctor's Second Brain/Concepts/Pattern-Recognition-Decision-Making.md; David Proctor's Second Brain/Concepts/Proof-of-Concept-as-Persuasion.md; David Proctor's Second Brain/Concepts/Sun-Tzu-Strategy-Principles.md; David Proctor's Second Brain/Concepts/Vendor-Lock-In-Risk.md; David Proctor's Second Brain/Frameworks/TOGAF.md; David Proctor's Second Brain/MOCs/AI-Strategy-MOC.md; David Proctor's Second Brain/MOCs/Career-and-Leadership-MOC.md; David Proctor's Second Brain/Mental Models/Audience-First Communication.md; David Proctor's Second Brain/Mental Models/Circle of Competence.md; David Proctor's Second Brain/Mental Models/Decentralization vs Centralization Tradeoffs.md; David Proctor's Second Brain/Mental Models/Minimal Viable Proof of Concept.md; David Proctor's Second Brain/People/Andrej-Karpathy.md; David Proctor's Second Brain/People/Dr-Seuss.md; David Proctor's Second Brain/People/Ken-Follett.md; David Proctor's Second Brain/People/Sun-Tzu.md; David Proctor's Second Brain/Principles/AI Ethics Is a Human Problem Not an AI Problem.md; David Proctor's Second Brain/Principles/Demos Persuade More Than Arguments.md; David Proctor's Second Brain/Principles/Facts Before Feelings.md; David Proctor's Second Brain/Principles/Open Protocols Beat Closed Platforms.md; David Proctor's Second Brain/Principles/Pattern Recognition Across Domains Is the Primary Cognitive Shortcut.md; David Proctor's Second Brain/Quotes/David-Proctor-Quotes.md; David Proctor's Second Brain/User-Profile.md
OGP-Protocol-Reference,C3 Missing core/spine note,30,no,David Proctor's Second Brain/Books/Pillars of the Earth.md; David Proctor's Second Brain/Concepts/AI-Agent-Isolation.md; David Proctor's Second Brain/Concepts/Cryptographic-Identity-for-AI-Agents.md; David Proctor's Second Brain/Concepts/Delegated-Authority-Model.md; David Proctor's Second Brain/Concepts/Directional-Trust.md; David Proctor's Second Brain/Concepts/Doorman-Pattern.md; David Proctor's Second Brain/Concepts/Ed25519-Signatures.md; David Proctor's Second Brain/Concepts/Federated-AI-Networks.md; David Proctor's Second Brain/Concepts/Human-in-the-Loop-Trust.md; David Proctor's Second Brain/Concepts/Intent-Based-Messaging.md; David Proctor's Second Brain/Concepts/MCP-Tool-Discovery-Problem.md; David Proctor's Second Brain/Concepts/Nonce-Based-Replay-Prevention.md; David Proctor's Second Brain/Concepts/Well-Known-Endpoint-Discovery.md; David Proctor's Second Brain/MOCs/AI-Agent-Federation-MOC.md; David Proctor's Second Brain/MOCs/OGP-Research-MOC.md; David Proctor's Second Brain/Mental Models/Decentralization vs Centralization Tradeoffs.md; David Proctor's Second Brain/Mental Models/First Principles Thinking.md; David Proctor's Second Brain/Mental Models/Friction as a Learning Trigger.md; David Proctor's Second Brain/Mental Models/Minimal Viable Proof of Concept.md; David Proctor's Second Brain/Mental Models/Pattern Recognition.md; David Proctor's Second Brain/People/Moxie-Marlinspike.md; David Proctor's Second Brain/People/Stanislav-Huseletov.md; David Proctor's Second Brain/Principles/Cryptographic Identity Is Non-Negotiable for AI Agents.md; David Proctor's Second Brain/Principles/Demos Persuade More Than Arguments.md; David Proctor's Second Brain/Principles/Human Approval Is a Safety Primitive Not Friction.md; David Proctor's Second Brain/Principles/Knowledge Must Be Compiled Not Re-Derived.md; David Proctor's Second Brain/Principles/Open Protocols Beat Closed Platforms.md; David Proctor's Second Brain/Quotes/David-Proctor-Quotes.md; David Proctor's Second Brain/Quotes/Moxie-Marlinspike-Quotes.md; David Proctor's Second Brain/Quotes/Pillars-of-the-Earth-Quotes.md
AI-CoE-Enablement-Framework,C3 Missing core/spine note,27,no,David Proctor's Second Brain/Books/Pillars of the Earth.md; David Proctor's Second Brain/Books/The Art of War.md; David Proctor's Second Brain/Books/World Without End.md; David Proctor's Second Brain/Concepts/AI-CoE-as-Internal-Product.md; David Proctor's Second Brain/Concepts/AI-Governance-Without-Friction.md; David Proctor's Second Brain/Concepts/Agile-Framework-in-Enterprise.md; David Proctor's Second Brain/Concepts/Central-Factory-Model.md; David Proctor's Second Brain/Concepts/Contract-Intelligence-Schema-Engineering.md; David Proctor's Second Brain/Concepts/TOGAF-Enterprise-Architecture.md; David Proctor's Second Brain/Frameworks/Agile.md; David Proctor's Second Brain/Frameworks/Archimate.md; David Proctor's Second Brain/Frameworks/SAFe.md; David Proctor's Second Brain/Frameworks/TOGAF.md; David Proctor's Second Brain/MOCs/AI-Strategy-MOC.md; David Proctor's Second Brain/MOCs/Career-and-Leadership-MOC.md; David Proctor's Second Brain/MOCs/Enterprise-Architecture-MOC.md; David Proctor's Second Brain/Mental Models/Governance Without Friction.md; David Proctor's Second Brain/Mental Models/Pattern Recognition.md; David Proctor's Second Brain/Mental Models/Second-Order Thinking.md; David Proctor's Second Brain/People/Jay-Khalife.md; David Proctor's Second Brain/Principles/AI Ethics Is a Human Problem Not an AI Problem.md; David Proctor's Second Brain/Principles/Demos Persuade More Than Arguments.md; David Proctor's Second Brain/Principles/Human Approval Is a Safety Primitive Not Friction.md; David Proctor's Second Brain/Principles/Repo Law Enables Agent Productivity.md; David Proctor's Second Brain/Principles/Simplify Before You Scale or Centralize.md; David Proctor's Second Brain/Quotes/The-Cat-in-the-Hat-Quotes.md; David Proctor's Second Brain/Quotes/World-Without-End-Quotes.md
GEPA-Tutor-Refinery,C3 Missing core/spine note,22,no,David Proctor's Second Brain/Books/The Cat in the Hat.md; David Proctor's Second Brain/Books/World Without End.md; David Proctor's Second Brain/Concepts/Declarative-AI-Programming.md; David Proctor's Second Brain/Concepts/Minimal-Scaffold-Standard.md; David Proctor's Second Brain/Concepts/Prompt-ROI-Index.md; David Proctor's Second Brain/Concepts/Self-Refine-Distillation.md; David Proctor's Second Brain/Concepts/Tokens-Per-Correct.md; David Proctor's Second Brain/Concepts/Two-Round-Plateau-Rule.md; David Proctor's Second Brain/MOCs/AI-Strategy-MOC.md; David Proctor's Second Brain/MOCs/Productivity-MOC.md; David Proctor's Second Brain/Mental Models/Friction as a Learning Trigger.md; David Proctor's Second Brain/Mental Models/Map vs Territory.md; David Proctor's Second Brain/Mental Models/Minimal Viable Proof of Concept.md; David Proctor's Second Brain/People/Omar-Khattab.md; David Proctor's Second Brain/People/Stanislav-Huseletov.md; David Proctor's Second Brain/Principles/Facts Before Feelings.md; David Proctor's Second Brain/Principles/Knowledge Must Be Compiled Not Re-Derived.md; David Proctor's Second Brain/Principles/Minimal Scaffolds Beat Verbose Prompts.md; David Proctor's Second Brain/Principles/Simplify Before You Scale or Centralize.md; David Proctor's Second Brain/Quotes/Andrej-Karpathy-Quotes.md; David Proctor's Second Brain/Quotes/David-Proctor-Quotes.md; David Proctor's Second Brain/Quotes/Omar-Khattab-Quotes.md
Learning-System,C3 Missing core/spine note,22,no,David Proctor's Second Brain/Books/The Cat in the Hat.md; David Proctor's Second Brain/Concepts/Audiobook-Series-Tracking.md; David Proctor's Second Brain/Concepts/Friction-Forced-Learning.md; David Proctor's Second Brain/Concepts/LLM-Maintained-Wiki.md; David Proctor's Second Brain/Concepts/Second-Brain-Architecture.md; David Proctor's Second Brain/MOCs/AI-Strategy-MOC.md; David Proctor's Second Brain/MOCs/Career-and-Leadership-MOC.md; David Proctor's Second Brain/MOCs/Productivity-MOC.md; David Proctor's Second Brain/Mental Models/Circle of Competence.md; David Proctor's Second Brain/Mental Models/Friction as a Learning Trigger.md; David Proctor's Second Brain/Mental Models/Minimal Viable Proof of Concept.md; David Proctor's Second Brain/People/Andrej-Karpathy.md; David Proctor's Second Brain/People/Jay-Khalife.md; David Proctor's Second Brain/People/Omar-Khattab.md; David Proctor's Second Brain/Principles/Knowledge Must Be Compiled Not Re-Derived.md; David Proctor's Second Brain/Principles/Pattern Recognition Across Domains Is the Primary Cognitive Shortcut.md; David Proctor's Second Brain/Principles/Simplify Before You Scale or Centralize.md; David Proctor's Second Brain/Quotes/Andrej-Karpathy-Quotes.md; David Proctor's Second Brain/Quotes/David-Proctor-Quotes.md; David Proctor's Second Brain/Quotes/Pillars-of-the-Earth-Quotes.md; David Proctor's Second Brain/Quotes/The-Cat-in-the-Hat-Quotes.md; David Proctor's Second Brain/User-Profile.md
Communication-Framework,C3 Missing core/spine note,18,no,David Proctor's Second Brain/Books/The Art of War.md; David Proctor's Second Brain/Concepts/Audience-First-Communication.md; David Proctor's Second Brain/Concepts/Expertise-Inflation-Measurement.md; David Proctor's Second Brain/Concepts/Expertise-Inflation.md; David Proctor's Second Brain/Concepts/INTJ-Decision-Style.md; David Proctor's Second Brain/Concepts/Medieval-Cathedral-Building.md; David Proctor's Second Brain/Concepts/Proof-of-Concept-as-Persuasion.md; David Proctor's Second Brain/MOCs/AI-Strategy-MOC.md; David Proctor's Second Brain/MOCs/Career-and-Leadership-MOC.md; David Proctor's Second Brain/MOCs/Productivity-MOC.md; David Proctor's Second Brain/Mental Models/Audience-First Communication.md; David Proctor's Second Brain/Mental Models/Minimal Viable Proof of Concept.md; David Proctor's Second Brain/People/Sun-Tzu.md; David Proctor's Second Brain/Principles/Demos Persuade More Than Arguments.md; David Proctor's Second Brain/Principles/Facts Before Feelings.md; David Proctor's Second Brain/Quotes/David-Proctor-Quotes.md; David Proctor's Second Brain/Quotes/The-Art-of-War-Quotes.md; David Proctor's Second Brain/User-Profile.md
Prompt-Engineering-Principles,C3 Missing core/spine note,17,no,David Proctor's Second Brain/Books/The Cat in the Hat.md; David Proctor's Second Brain/Concepts/Contract-Intelligence-Schema-Engineering.md; David Proctor's Second Brain/Concepts/Declarative-AI-Programming.md; David Proctor's Second Brain/Concepts/Expertise-Inflation.md; David Proctor's Second Brain/Concepts/Minimal-Scaffold-Standard.md; David Proctor's Second Brain/Concepts/Prompt-ROI-Index.md; David Proctor's Second Brain/Concepts/Tokens-Per-Correct.md; David Proctor's Second Brain/Concepts/Two-Round-Plateau-Rule.md; David Proctor's Second Brain/MOCs/AI-Strategy-MOC.md; David Proctor's Second Brain/MOCs/Productivity-MOC.md; David Proctor's Second Brain/Mental Models/Map vs Territory.md; David Proctor's Second Brain/Mental Models/Minimal Viable Proof of Concept.md; David Proctor's Second Brain/People/Omar-Khattab.md; David Proctor's Second Brain/Principles/Minimal Scaffolds Beat Verbose Prompts.md; David Proctor's Second Brain/Quotes/David-Proctor-Quotes.md; David Proctor's Second Brain/Quotes/Omar-Khattab-Quotes.md; David Proctor's Second Brain/Quotes/The-Cat-in-the-Hat-Quotes.md
Agentic-Framework-Evaluation,C3 Missing core/spine note,16,no,David Proctor's Second Brain/Concepts/AI-Infrastructure-Dependency-Stack.md; David Proctor's Second Brain/Concepts/Agentic-AI-Maturity.md; David Proctor's Second Brain/Concepts/Agentic-AI-Supervision-Models.md; David Proctor's Second Brain/Concepts/Agile-Framework-in-Enterprise.md; David Proctor's Second Brain/Concepts/Human-in-the-Loop-Trust.md; David Proctor's Second Brain/Concepts/MCP-Tool-Discovery-Problem.md; David Proctor's Second Brain/Concepts/Multi-Agent-Orchestration.md; David Proctor's Second Brain/Concepts/Repo-Constitution-Pattern.md; David Proctor's Second Brain/MOCs/AI-Agent-Federation-MOC.md; David Proctor's Second Brain/MOCs/AI-Strategy-MOC.md; David Proctor's Second Brain/MOCs/Enterprise-Architecture-MOC.md; David Proctor's Second Brain/Mental Models/Circle of Competence.md; David Proctor's Second Brain/Principles/AI Ethics Is a Human Problem Not an AI Problem.md; David Proctor's Second Brain/Principles/Facts Before Feelings.md; David Proctor's Second Brain/Principles/Human Approval Is a Safety Primitive Not Friction.md; David Proctor's Second Brain/Principles/Repo Law Enables Agent Productivity.md
Agent-and-Repo-Guardrails,C3 Missing core/spine note,13,no,David Proctor's Second Brain/Concepts/AI-Agent-Isolation.md; David Proctor's Second Brain/Concepts/AI-Governance-Without-Friction.md; David Proctor's Second Brain/Concepts/Agentic-AI-Supervision-Models.md; David Proctor's Second Brain/Concepts/CI-CD-Pipeline-Design.md; David Proctor's Second Brain/Concepts/Multi-Agent-Orchestration.md; David Proctor's Second Brain/Concepts/Prompt-Injection-Risk.md; David Proctor's Second Brain/Concepts/Repo-Constitution-Pattern.md; David Proctor's Second Brain/MOCs/AI-Strategy-MOC.md; David Proctor's Second Brain/MOCs/Enterprise-Architecture-MOC.md; David Proctor's Second Brain/MOCs/Productivity-MOC.md; David Proctor's Second Brain/Mental Models/Governance Without Friction.md; David Proctor's Second Brain/Principles/Repo Law Enables Agent Productivity.md; David Proctor's Second Brain/Quotes/David-Proctor-Quotes.md
AI-Infrastructure-Reliability,C3 Missing core/spine note,13,no,David Proctor's Second Brain/Concepts/AI-Infrastructure-Dependency-Stack.md; David Proctor's Second Brain/Concepts/Algorithmic-Engagement-Dynamics.md; David Proctor's Second Brain/Concepts/Algorithmic-Misclassification.md; David Proctor's Second Brain/Concepts/DDoS-as-AI-Risk.md; David Proctor's Second Brain/Concepts/Gateway-High-Availability.md; David Proctor's Second Brain/Concepts/Open-Source-AI-Models.md; David Proctor's Second Brain/Concepts/Vendor-Lock-In-Risk.md; David Proctor's Second Brain/MOCs/AI-Strategy-MOC.md; David Proctor's Second Brain/MOCs/Enterprise-Architecture-MOC.md; David Proctor's Second Brain/Principles/Facts Before Feelings.md; David Proctor's Second Brain/Quotes/David-Proctor-Quotes.md; David Proctor's Second Brain/Quotes/Pillars-of-the-Earth-Quotes.md; David Proctor's Second Brain/Quotes/World-Without-End-Quotes.md
Crossover-Operations-Leadership,C3 Missing core/spine note,13,no,David Proctor's Second Brain/Books/Pillars of the Earth.md; David Proctor's Second Brain/Concepts/AI-CoE-as-Internal-Product.md; David Proctor's Second Brain/Concepts/AI-Governance-Without-Friction.md; David Proctor's Second Brain/Concepts/Central-Factory-Model.md; David Proctor's Second Brain/Frameworks/Agile.md; David Proctor's Second Brain/Frameworks/SAFe.md; David Proctor's Second Brain/Frameworks/TOGAF.md; David Proctor's Second Brain/MOCs/AI-Strategy-MOC.md; David Proctor's Second Brain/MOCs/Career-and-Leadership-MOC.md; David Proctor's Second Brain/MOCs/Enterprise-Architecture-MOC.md; David Proctor's Second Brain/Principles/Simplify Before You Scale or Centralize.md; David Proctor's Second Brain/Quotes/The-Art-of-War-Quotes.md; David Proctor's Second Brain/Quotes/World-Without-End-Quotes.md
Expertise-Inflation-Research,C3 Missing core/spine note,10,no,David Proctor's Second Brain/Concepts/Expertise-Inflation-Measurement.md; David Proctor's Second Brain/Concepts/Expertise-Inflation.md; David Proctor's Second Brain/MOCs/AI-Strategy-MOC.md; David Proctor's Second Brain/MOCs/Productivity-MOC.md; David Proctor's Second Brain/Mental Models/Circle of Competence.md; David Proctor's Second Brain/Mental Models/Map vs Territory.md; David Proctor's Second Brain/Principles/Demos Persuade More Than Arguments.md; David Proctor's Second Brain/Principles/Knowledge Must Be Compiled Not Re-Derived.md; David Proctor's Second Brain/Quotes/David-Proctor-Quotes.md; David Proctor's Second Brain/Quotes/World-Without-End-Quotes.md
Karpathy-LLM-Wiki-Methodology,C3 Missing core/spine note,10,no,David Proctor's Second Brain/Concepts/Friction-Forced-Learning.md; David Proctor's Second Brain/Concepts/LLM-Maintained-Wiki.md; David Proctor's Second Brain/Concepts/Second-Brain-Architecture.md; David Proctor's Second Brain/MOCs/AI-Strategy-MOC.md; David Proctor's Second Brain/MOCs/Productivity-MOC.md; David Proctor's Second Brain/Mental Models/Friction as a Learning Trigger.md; David Proctor's Second Brain/People/Andrej-Karpathy.md; David Proctor's Second Brain/People/Jay-Khalife.md; David Proctor's Second Brain/Principles/Knowledge Must Be Compiled Not Re-Derived.md; David Proctor's Second Brain/Quotes/Andrej-Karpathy-Quotes.md
Hermes-vs-OpenClaw,C3 Missing core/spine note,8,no,David Proctor's Second Brain/Concepts/AI-Agent-Isolation.md; David Proctor's Second Brain/Concepts/Gateway-High-Availability.md; David Proctor's Second Brain/Concepts/Open-Source-AI-Models.md; David Proctor's Second Brain/MOCs/AI-Agent-Federation-MOC.md; David Proctor's Second Brain/MOCs/OGP-Research-MOC.md; David Proctor's Second Brain/People/Stanislav-Huseletov.md; David Proctor's Second Brain/Principles/Cryptographic Identity Is Non-Negotiable for AI Agents.md; David Proctor's Second Brain/Principles/Pattern Recognition Across Domains Is the Primary Cognitive Shortcut.md
Asynchronous-Coding-Agents,C3 Missing core/spine note,7,no,David Proctor's Second Brain/Concepts/Agentic-AI-Maturity.md; David Proctor's Second Brain/Concepts/Agentic-AI-Supervision-Models.md; David Proctor's Second Brain/Concepts/Multi-Agent-Orchestration.md; David Proctor's Second Brain/Concepts/Repo-Constitution-Pattern.md; David Proctor's Second Brain/MOCs/AI-Strategy-MOC.md; David Proctor's Second Brain/Principles/Repo Law Enables Agent Productivity.md; David Proctor's Second Brain/Principles/Simplify Before You Scale or Centralize.md
MCP-and-Tool-Discovery,C3 Missing core/spine note,5,no,David Proctor's Second Brain/Concepts/Intent-Based-Messaging.md; David Proctor's Second Brain/Concepts/MCP-Tool-Discovery-Problem.md; David Proctor's Second Brain/MOCs/AI-Agent-Federation-MOC.md; David Proctor's Second Brain/MOCs/AI-Strategy-MOC.md; David Proctor's Second Brain/MOCs/Productivity-MOC.md
AI-CoE-Portal-Pattern,C3 Missing core/spine note,4,no,David Proctor's Second Brain/Concepts/AI-CoE-as-Internal-Product.md; David Proctor's Second Brain/MOCs/AI-Strategy-MOC.md; David Proctor's Second Brain/MOCs/Enterprise-Architecture-MOC.md; David Proctor's Second Brain/Principles/Demos Persuade More Than Arguments.md
Reading-Library,C3 Missing core/spine note,4,no,David Proctor's Second Brain/Concepts/Audiobook-Series-Tracking.md; David Proctor's Second Brain/People/Dr-Seuss.md; David Proctor's Second Brain/People/Ken-Follett.md; David Proctor's Second Brain/Principles/Knowledge Must Be Compiled Not Re-Derived.md
AICOE-Expert-Network,C3 Missing core/spine note,2,no,David Proctor's Second Brain/MOCs/AI-Agent-Federation-MOC.md; David Proctor's Second Brain/MOCs/AI-Strategy-MOC.md
ESW Paper,C3 Missing core/spine note,2,no,Portfolio Brain/Playbooks/Test Customer 1/_intelligence_summary.md; Portfolio Brain/Playbooks/Test Customer 2/_intelligence_summary.md
How-To Change Control at Ludicrous Speed,C3 Missing core/spine note,2,no,David Proctor's Second Brain/Mental Models/Governance Without Friction.md; David Proctor's Second Brain/Mental Models/Pattern Recognition.md
OpenClaw-and-Personal-AI-Gateways,C3 Missing core/spine note,2,no,David Proctor's Second Brain/MOCs/AI-Agent-Federation-MOC.md; David Proctor's Second Brain/Mental Models/Friction as a Learning Trigger.md
AI-Vision-and-UI-Testing,C3 Missing core/spine note,1,no,David Proctor's Second Brain/MOCs/AI-Strategy-MOC.md
axoviq-ai/synthadoc,C3 Missing core/spine note,1,no,David Proctor's Second Brain/Concepts/LLM-Maintained-Wiki.md
CLAUDE.md,C3 Missing core/spine note,1,yes,Portfolio Brain/INDEX.md
David-Profile,C3 Missing core/spine note,1,no,Portfolio Brain/_skills/playbook.md
How-To Why Most Architecture Review Boards Suck,C3 Missing core/spine note,1,no,David Proctor's Second Brain/Frameworks/TOGAF.md
Jay-Profile,C3 Missing core/spine note,1,no,Portfolio Brain/Company-Rules.md
Systems Thinking,C3 Missing core/spine note,1,no,David Proctor's Second Brain/Mental Models/Second-Order Thinking.md
The Algorithm that Stopped Counting,C3 Missing core/spine note,1,no,David Proctor's Second Brain/Concepts/Algorithmic-Misclassification.md
Customer-Intelligence-MOC,C4 Missing MOC hub,2,no,Portfolio Brain/Company-Rules.md; Portfolio Brain/_skills/playbook.md
GitHub-Repos-MOC,C4 Missing MOC hub,2,no,David Proctor's Second Brain/Frameworks/Archimate.md; David Proctor's Second Brain/People/Jay-Khalife.md
Communication-Mastery-MOC,C4 Missing MOC hub,1,no,Portfolio Brain/_skills/playbook.md
Decision-Making-Toolkit-MOC,C4 Missing MOC hub,1,no,Portfolio Brain/_skills/playbook.md
Leadership-and-Management-MOC,C4 Missing MOC hub,1,no,Portfolio Brain/_skills/playbook.md
MOCs/Security-and-Cryptography-MOC,C4 Missing MOC hub,1,no,David Proctor's Second Brain/MOCs/AI-Agent-Federation-MOC.md
Sales-Playbook-MOC,C4 Missing MOC hub,1,no,Portfolio Brain/_skills/playbook.md
Strategy-and-Power-MOC,C4 Missing MOC hub,1,no,Portfolio Brain/_skills/playbook.md
knowledge/How-To Why Most Architecture Review Boards Suck.md,C5 Missing knowledge/ folder,2,no,David Proctor's Second Brain/Quotes/David-Proctor-Quotes.md; David Proctor's Second Brain/Quotes/World-Without-End-Quotes.md
BrainLift-AI Vision and UI Testing,C5 Missing knowledge/ folder,1,no,David Proctor's Second Brain/Principles/AI Ethics Is a Human Problem Not an AI Problem.md
BrainLift-AI-Augmented CICD Right-Sized Pipelines for Fast Safe Shipping,C5 Missing knowledge/ folder,1,no,David Proctor's Second Brain/Mental Models/Governance Without Friction.md
BrainLift-GEPA,C5 Missing knowledge/ folder,1,no,David Proctor's Second Brain/People/Omar-Khattab.md
